API,COUNTRY,EMISSIONS,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.4010-8-ATG-MMTCD.A,Antigua and Barbuda,Consumed natural gas (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4006-8-ATG-MMTCD.A,Antigua and Barbuda,Petroleum and other liquids (MMtonnes CO2),0.40738,0.4,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.690569119,0.7,0.7,0.7,0.690076094,0.707217069,0.705863443,0.719317413,0.751413,0.762758,0.7159054,0.7348894,0.7288483,0.613785704,0.653263187
INTL.4008-8-ARG-MMTCD.A,Argentina,CO2 emissions (MMtonnes CO2),93.02991395,90.73678637,93.95012207,94.25159568,98.3154848,92.07706013,104.4233961,105.5104304,108.4566246,107.3660898,99.37886885,104.1947663,105.5507995,115.8614647,112.113004,115.124917,123.0610786,125.7896239,133.6484462,139.3732993,137.7194221,127.2982254,119.2219627,133.0034949,140.3617567,151.9936417,156.319849,157.8722287,169.1767802,168.4271202,186.4270052,190.2935755,195.5648086,196.6892367,197.3258711,214.148988,214.123013,195.1401068,194.5653447,201.3905968,166.8365945,199.0477006
INTL.4002-8-ARG-MMTCD.A,Argentina,Coal and coke (MMtonnes CO2),3.39159969,3.030903686,3.127242226,2.809768821,2.17801272,2.61297121,3.400808588,3.576565665,3.643656816,3.762741645,3.373197092,2.903367471,2.906775461,2.671719497,3.631131264,3.278261874,3.042340689,2.907946804,2.909484445,3.012014386,2.693826619,2.169074768,1.952923968,2.295422274,3.133502336,3.811615741,3.55324655,3.709767366,4.221444527,3.958460446,3.664643535,3.937608424,4.320512129,4.357923362,4.120341976,3.856025041,3.725290975,3.656726402,3.045990257,2.122148912,2.336943943,3.417737913
INTL.4010-8-ARG-MMTCD.A,Argentina,Consumed natural gas (MMtonnes CO2),19.54257426,19.70588268,24.82287984,24.44182686,31.13747208,31.46408892,34.0225875,32.9338647,38.81296782,43.60334814,39.00567176,43.29139882,43.64402403,46.18974524,47.48187271,52.84665512,56.01873796,55.88167708,59.73896173,63.36128488,65.02559551,61.12915061,59.26903873,67.70807265,74.22825431,79.18202597,81.76660248,85.99590951,86.95533564,84.46865975,84.76236163,90.32311716,90.93010104,91.38631795,92.17931302,92.00700792,94.82456399,96.04243743,101.3575664,105.0608634,98.09705695,96.8052647
INTL.4006-8-ARG-MMTCD.A,Argentina,Petroleum and other liquids (MMtonnes CO2),70.09574,68,66,67,65,58,67,69,66,60,57,58,59,67,61,59,64,67,71,73,70,64,58,63,63,69,71,68.16655186,78,80,98,96.03284994,100.3141954,100.9449954,101.0262161,118.285955,115.573158,95.44094293,90.16178809,94.20758451,66.40259362,98.82469798
INTL.4008-8-ARM-MMTCD.A,Armenia,CO2 emissions (MMtonnes CO2),--,--,--,--,--,--,--,--,--,--,--,--,11.10020681,6.866926082,6.02829579,7.089674037,8.071509648,7.479557823,7.864828592,7.743406613,8.372155215,8.551151861,8.242803401,8.796330443,9.013094019,10.23672109,10.23778008,11.15540358,11.09244586,10.04161989,4.813019398,5.238929565,5.991110422,5.808716504,5.983706514,5.026330456,5.388280856,5.764256766,5.976457104,6.276265165,6.711527864,7.165193091
INTL.4002-8-ARM-MMTCD.A,Armenia,Coal and coke (MMtonnes CO2),--,--,--,--,--,--,--,--,--,--,--,--,0.351333388,0.220517767,0.089702145,0.051080392,0.04017517,0.029269948,0.018364726,0.012736337,0.00607375,0.004687995,0.004485106,0.00680737,0.003953347,0.001729256,0.002788238,0.006802404,0.006249242,0.000892037,0.005790765,0.007507562,0.006603066,0.003152399,0.00248405,0.002797653,0.002848839,0.003707182,0.004416816,0.011522965,0.032226881,0.048161766
INTL.4010-8-ARM-MMTCD.A,Armenia,Consumed natural gas (MMtonnes CO2),--,--,--,--,--,--,--,--,--,--,--,--,3.648873421,2.746408315,3.138593645,3.138593645,3.531334478,2.550287875,2.746463866,2.530670276,2.766081465,2.746463866,2.138318295,2.589523073,2.609140672,3.334991837,3.334991837,4.029454843,3.786196615,3.040727851,3.570403025,4.060843001,4.806311765,4.727841369,4.90439976,4.021607803,4.347223017,4.617943584,4.869455288,4.90044048,4.991456639,5.426502514
INTL.4006-8-ARM-MMTCD.A,Armenia,Petroleum and other liquids (MMtonnes CO2),--,--,--,--,--,--,--,--,--,--,--,--,7.1,3.9,2.8,3.9,4.5,4.9,5.1,5.2,5.6,5.8,6.1,6.2,6.4,6.9,6.9,7.11914633,7.3,7,1.236825608,1.170579003,1.17819559,1.077722737,1.076822704,1.001925,1.038209,1.142606,1.102585,1.36430172,1.687844344,1.690528811
