API,COUNTRY,CONSUMPTION,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.44-2-ATA-QBTU.A,Antarctica,Consumption (quad Btu),0.00213195,0.002126125,0.002126125,0.002126125,0.002771535,0.002976575,0.002763963,0.002763963,0.00298473,0.002763963,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003189188,0.003197925,0.003189188,0.003189188,0.003189188,0.003172179,0.003259088,0.003259088,0.003259088,0.003302542,0.00332254,0.00332238,0.003365764,0.000168117,0.000229959,0.000229943,0.000229783,0.000196199,0.00019569,0.000195674,0.000198729,0.000198478,0.000186509,0.000186509,0.000186509,0.000157013,0.000167087
INTL.4411-2-ATA-QBTU.A,Antarctica,Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-ATA-QBTU.A,Antarctica,Natural gas (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4415-2-ATA-QBTU.A,Antarctica,Petroleum and other liquids (quad Btu),0.00213195,0.002126125,0.002126125,0.002126125,0.002771535,0.002976575,0.002763963,0.002763963,0.00298473,0.002763963,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003189188,0.003197925,0.003189188,0.003189188,0.003189188,0.003172179,0.003259088,0.003259088,0.003259088,0.003302542,0.003302542,0.003302542,0.003345996,0.000148409,0.000190919,0.000190919,0.000190919,0.000191441,0.000190919,0.000190919,0.00018941,0.000189246,0.000186509,0.000186509,0.000186509,0.000157013,0.000167087
INTL.4419-2-ATA-QBTU.A,Antarctica,"Nuclear, renewables, and other (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000004758,4.77E-06,0.000004755,0.000009319,0.000009232,0,0,0,0,0
none,Antarctica,Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-ATA-QBTU.A,Antarctica,Renewables and other (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000004758,4.77E-06,0.000004755,0.000009319,0.000009232,0,0,0,0,0
INTL.44-2-ATG-QBTU.A,Antigua and Barbuda,Consumption (quad Btu),0.005804855,0.005168746,0.007029494,0.004134997,0.004560958,0.004548496,0.004624394,0.005755917,0.005771311,0.005755917,0.00596853,0.005947652,0.005963571,0.005947652,0.006367219,0.006788429,0.006806652,0.006995384,0.006995384,0.006995404,0.007289302,0.007289302,0.007814668,0.008213775,0.008519161,0.00864945,0.008914564,0.009342398,0.009556925,0.010013005,0.009681577,0.009654357,0.009921412,0.009922379,0.010145155,0.010384333,0.010535492,0.010023144,0.010327377,0.010382211,0.008785966,0.009372914
INTL.4411-2-ATG-QBTU.A,Antigua and Barbuda,Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-ATG-QBTU.A,Antigua and Barbuda,Natural gas (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
