,COUNTRY,EMISSIONS,Year,Value
158,Chad,Consumed natural gas (MMtonnes CO2),1980,0
159,Chad,Petroleum and other liquids (MMtonnes CO2),1980,0.27621
160,Chile,CO2 emissions (MMtonnes CO2),1980,21.60861592
161,Chile,Coal and coke (MMtonnes CO2),1980,3.636470901
162,Chile,Consumed natural gas (MMtonnes CO2),1980,4.509816667
163,Chile,Petroleum and other liquids (MMtonnes CO2),1980,13.46232835
164,China,CO2 emissions (MMtonnes CO2),1980,1596.696386
165,China,Coal and coke (MMtonnes CO2),1980,1309.985254
166,China,Consumed natural gas (MMtonnes CO2),1980,30.83945278
167,China,Petroleum and other liquids (MMtonnes CO2),1980,255.87168
168,Colombia,CO2 emissions (MMtonnes CO2),1980,35.77615779
169,Colombia,Coal and coke (MMtonnes CO2),1980,8.230231671
170,Colombia,Consumed natural gas (MMtonnes CO2),1980,6.303132
171,Colombia,Petroleum and other liquids (MMtonnes CO2),1980,21.24279412
172,Comoros,CO2 emissions (MMtonnes CO2),1980,0.04142
173,Comoros,Coal and coke (MMtonnes CO2),1980,0
174,Comoros,Consumed natural gas (MMtonnes CO2),1980,0
175,Comoros,Petroleum and other liquids (MMtonnes CO2),1980,0.04142
176,Congo-Brazzaville,CO2 emissions (MMtonnes CO2),1980,0.720720132
177,Congo-Brazzaville,Coal and coke (MMtonnes CO2),1980,0
178,Congo-Brazzaville,Consumed natural gas (MMtonnes CO2),1980,0.022220132
179,Congo-Brazzaville,Petroleum and other liquids (MMtonnes CO2),1980,0.6985
180,Congo-Kinshasa,CO2 emissions (MMtonnes CO2),1980,3.336347568
181,Congo-Kinshasa,Coal and coke (MMtonnes CO2),1980,0.623757568
182,Congo-Kinshasa,Consumed natural gas (MMtonnes CO2),1980,0
183,Congo-Kinshasa,Petroleum and other liquids (MMtonnes CO2),1980,2.71259
184,Cook Islands,CO2 emissions (MMtonnes CO2),1980,0.02812
185,Cook Islands,Coal and coke (MMtonnes CO2),1980,0
186,Cook Islands,Consumed natural gas (MMtonnes CO2),1980,0
187,Cook Islands,Petroleum and other liquids (MMtonnes CO2),1980,0.02812
188,Costa Rica,CO2 emissions (MMtonnes CO2),1980,2.340974967
189,Costa Rica,Coal and coke (MMtonnes CO2),1980,0
