COUNTRY,Composite_Indicators,Year,Value
Australia,Fossil fuels (billion kWh),1990,131.785
Australia,Renewables (billion kWh),1990,14.756
Australia,Hydroelectricity (billion kWh),1990,14.006
Australia,Non-hydroelectric renewables (billion kWh),1990,0.75
Australia,Geothermal (billion kWh),1990,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1990,0.0
Australia,Tide and wave (billion kWh),1990,0.0
Australia,Solar (billion kWh),1990,0.0
Australia,Wind (billion kWh),1990,0.0
Australia,Biomass and waste (billion kWh),1990,0.75
Australia,Hydroelectric pumped storage (billion kWh),1990,-0.354
Australia,Consumption (quad Btu),1990,3.845051046
Australia,Coal (quad Btu),1990,1.582635579
Australia,Natural gas (quad Btu),1990,0.6525
Australia,Petroleum and other liquids (quad Btu),1990,1.475459824
Australia,"Nuclear, renewables, and other (quad Btu)",1990,0.134455644
Australia,Nuclear (quad Btu),1990,0.0
Australia,Renewables and other (quad Btu),1990,0.134455644
Australia,CO2 emissions (MMtonnes CO2),1990,267.5944695
Australia,Coal and coke (MMtonnes CO2),1990,136.3772769
Australia,Consumed natural gas (MMtonnes CO2),1990,34.619475
Australia,Petroleum and other liquids (MMtonnes CO2),1990,96.59771756
Australia,Population,1990,17092830.0
Australia,GDP,1990,514.0105
Australia,Generation (billion kWh),1991,148.367
Australia,Nuclear (billion kWh),1991,0.0
Australia,Fossil fuels (billion kWh),1991,132.303
Australia,Renewables (billion kWh),1991,16.433
Australia,Hydroelectricity (billion kWh),1991,15.663
Australia,Non-hydroelectric renewables (billion kWh),1991,0.77
Australia,Geothermal (billion kWh),1991,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1991,0.0
Australia,Tide and wave (billion kWh),1991,0.0
Australia,Solar (billion kWh),1991,0.0
Australia,Wind (billion kWh),1991,0.0
Australia,Biomass and waste (billion kWh),1991,0.77
Australia,Hydroelectric pumped storage (billion kWh),1991,-0.369
Australia,Consumption (quad Btu),1991,3.816707739
Australia,Coal (quad Btu),1991,1.616347197
Australia,Natural gas (quad Btu),1991,0.61028
Australia,Petroleum and other liquids (quad Btu),1991,1.442688668
Australia,"Nuclear, renewables, and other (quad Btu)",1991,0.147391875
Australia,Nuclear (quad Btu),1991,0.0
Australia,Renewables and other (quad Btu),1991,0.147391875
Australia,CO2 emissions (MMtonnes CO2),1991,266.2858728
Australia,Coal and coke (MMtonnes CO2),1991,139.1607402
Australia,Consumed natural gas (MMtonnes CO2),1991,32.37942253
Australia,Petroleum and other liquids (MMtonnes CO2),1991,94.74571012
Australia,Population,1991,17309080.0
Australia,GDP,1991,508.8748
Australia,Generation (billion kWh),1992,150.7594
Australia,Nuclear (billion kWh),1992,0.0
Australia,Fossil fuels (billion kWh),1992,135.249
Australia,Renewables (billion kWh),1992,15.8744
Australia,Hydroelectricity (billion kWh),1992,15.194
Australia,Non-hydroelectric renewables (billion kWh),1992,0.6804
Australia,Geothermal (billion kWh),1992,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1992,0.0104
Australia,Tide and wave (billion kWh),1992,0.0
Australia,Solar (billion kWh),1992,0.0104
Australia,Wind (billion kWh),1992,0.0
Australia,Biomass and waste (billion kWh),1992,0.67
Australia,Hydroelectric pumped storage (billion kWh),1992,-0.364
Australia,Consumption (quad Btu),1992,3.896131662
Australia,Coal (quad Btu),1992,1.659309509
Australia,Natural gas (quad Btu),1992,0.632084291
Australia,Petroleum and other liquids (quad Btu),1992,1.460019119
Australia,"Nuclear, renewables, and other (quad Btu)",1992,0.144718742
Australia,Nuclear (quad Btu),1992,0.0
Australia,Renewables and other (quad Btu),1992,0.144718742
Australia,CO2 emissions (MMtonnes CO2),1992,272.5175341
Australia,Coal and coke (MMtonnes CO2),1992,143.3992956
Australia,Consumed natural gas (MMtonnes CO2),1992,33.53628556
Australia,Petroleum and other liquids (MMtonnes CO2),1992,95.58195302
Australia,Population,1992,17497640.0
Australia,GDP,1992,522.0675
Australia,Generation (billion kWh),1993,154.646
Australia,Nuclear (billion kWh),1993,0.0
Australia,Fossil fuels (billion kWh),1993,137.882
Australia,Renewables (billion kWh),1993,17.164
Australia,Hydroelectricity (billion kWh),1993,16.483
Australia,Non-hydroelectric renewables (billion kWh),1993,0.681
Australia,Geothermal (billion kWh),1993,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1993,0.011
Australia,Tide and wave (billion kWh),1993,0.0
Australia,Solar (billion kWh),1993,0.011
Australia,Wind (billion kWh),1993,0.0
Australia,Biomass and waste (billion kWh),1993,0.67
Australia,Hydroelectric pumped storage (billion kWh),1993,-0.4
Australia,Consumption (quad Btu),1993,3.990760839
Australia,Coal (quad Btu),1993,1.655321767
Australia,Natural gas (quad Btu),1993,0.65788704
Australia,Petroleum and other liquids (quad Btu),1993,1.516703836
Australia,"Nuclear, renewables, and other (quad Btu)",1993,0.160848197
Australia,Nuclear (quad Btu),1993,0.0
Australia,Renewables and other (quad Btu),1993,0.160848197
Australia,CO2 emissions (MMtonnes CO2),1993,276.8186378
Australia,Coal and coke (MMtonnes CO2),1993,143.1753325
Australia,Consumed natural gas (MMtonnes CO2),1993,34.90529339
Australia,Petroleum and other liquids (MMtonnes CO2),1993,98.73801193
Australia,Population,1993,17655470.0
Australia,GDP,1993,542.5902
Australia,Generation (billion kWh),1994,158.368
Australia,Nuclear (billion kWh),1994,0.0
Australia,Fossil fuels (billion kWh),1994,141.812
Australia,Renewables (billion kWh),1994,16.879
Australia,Hydroelectricity (billion kWh),1994,16.192
Australia,Non-hydroelectric renewables (billion kWh),1994,0.687
Australia,Geothermal (billion kWh),1994,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1994,0.013
Australia,Tide and wave (billion kWh),1994,0.0
Australia,Solar (billion kWh),1994,0.013
Australia,Wind (billion kWh),1994,0.004
Australia,Biomass and waste (billion kWh),1994,0.67
Australia,Hydroelectric pumped storage (billion kWh),1994,-0.323
Australia,Consumption (quad Btu),1994,4.059596889
Australia,Coal (quad Btu),1994,1.640940622
Australia,Natural gas (quad Btu),1994,0.687761038
Australia,Petroleum and other liquids (quad Btu),1994,1.570986003
Australia,"Nuclear, renewables, and other (quad Btu)",1994,0.159909225
Australia,Nuclear (quad Btu),1994,0.0
Australia,Renewables and other (quad Btu),1994,0.159909225
Australia,CO2 emissions (MMtonnes CO2),1994,281.4236102
Australia,Coal and coke (MMtonnes CO2),1994,142.0587953
Australia,Consumed natural gas (MMtonnes CO2),1994,36.49030812
Australia,Petroleum and other liquids (MMtonnes CO2),1994,102.8745068
Australia,Population,1994,17827460.0
Australia,GDP,1994,568.9047
Australia,Generation (billion kWh),1995,163.841
Australia,Nuclear (billion kWh),1995,0.0
Australia,Fossil fuels (billion kWh),1995,147.688
Australia,Renewables (billion kWh),1995,16.469
Australia,Hydroelectricity (billion kWh),1995,15.726
Australia,Non-hydroelectric renewables (billion kWh),1995,0.743
Australia,Geothermal (billion kWh),1995,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1995,0.016
Australia,Tide and wave (billion kWh),1995,0.0
Australia,Solar (billion kWh),1995,0.016
Australia,Wind (billion kWh),1995,0.007
Australia,Biomass and waste (billion kWh),1995,0.72
Australia,Hydroelectric pumped storage (billion kWh),1995,-0.316
Australia,Consumption (quad Btu),1995,4.181352368
Australia,Coal (quad Btu),1995,1.668966589
Australia,Natural gas (quad Btu),1995,0.73807785
Australia,Petroleum and other liquids (quad Btu),1995,1.615144649
Australia,"Nuclear, renewables, and other (quad Btu)",1995,0.159163281
Australia,Nuclear (quad Btu),1995,0.0
Australia,Renewables and other (quad Btu),1995,0.159163281
Australia,CO2 emissions (MMtonnes CO2),1995,289.4000199
Australia,Coal and coke (MMtonnes CO2),1995,145.3837386
Australia,Consumed natural gas (MMtonnes CO2),1995,39.15995044
Australia,Petroleum and other liquids (MMtonnes CO2),1995,104.8563308
Australia,Population,1995,18029920.0
Australia,GDP,1995,585.7182
Australia,Generation (billion kWh),1996,168.06766
Australia,Nuclear (billion kWh),1996,0.0
Australia,Fossil fuels (billion kWh),1996,151.84666
Australia,Renewables (billion kWh),1996,16.575
Australia,Hydroelectricity (billion kWh),1996,15.619
Australia,Non-hydroelectric renewables (billion kWh),1996,0.956
Australia,Geothermal (billion kWh),1996,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1996,0.019
Australia,Tide and wave (billion kWh),1996,0.0
Australia,Solar (billion kWh),1996,0.019
Australia,Wind (billion kWh),1996,0.007
Australia,Biomass and waste (billion kWh),1996,0.93
Australia,Hydroelectric pumped storage (billion kWh),1996,-0.354
Australia,Consumption (quad Btu),1996,4.365435377
Australia,Coal (quad Btu),1996,1.797968697
Australia,Natural gas (quad Btu),1996,0.740765674
Australia,Petroleum and other liquids (quad Btu),1996,1.665311363
Australia,"Nuclear, renewables, and other (quad Btu)",1996,0.161389643
Australia,Nuclear (quad Btu),1996,0.0
Australia,Renewables and other (quad Btu),1996,0.161389643
Australia,CO2 emissions (MMtonnes CO2),1996,305.2453906
Australia,Coal and coke (MMtonnes CO2),1996,158.2500232
Australia,Consumed natural gas (MMtonnes CO2),1996,39.30255746
Australia,Petroleum and other liquids (MMtonnes CO2),1996,107.6928099
Australia,Population,1996,18246450.0
Australia,GDP,1996,609.2866
Australia,Generation (billion kWh),1997,173.354
Australia,Nuclear (billion kWh),1997,0.0
Australia,Fossil fuels (billion kWh),1997,155.951
Australia,Renewables (billion kWh),1997,17.733
Australia,Hydroelectricity (billion kWh),1997,16.733
Australia,Non-hydroelectric renewables (billion kWh),1997,1.0
Australia,Geothermal (billion kWh),1997,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1997,0.023
Australia,Tide and wave (billion kWh),1997,0.0
Australia,Solar (billion kWh),1997,0.023
Australia,Wind (billion kWh),1997,0.007
Australia,Biomass and waste (billion kWh),1997,0.97
Australia,Hydroelectric pumped storage (billion kWh),1997,-0.33
Australia,Consumption (quad Btu),1997,4.481996789
Australia,Coal (quad Btu),1997,1.86779824
Australia,Natural gas (quad Btu),1997,0.745990846
Australia,Petroleum and other liquids (quad Btu),1997,1.694436243
Australia,"Nuclear, renewables, and other (quad Btu)",1997,0.17377146
Australia,Nuclear (quad Btu),1997,0.0
Australia,Renewables and other (quad Btu),1997,0.17377146
Australia,CO2 emissions (MMtonnes CO2),1997,313.3548687
Australia,Coal and coke (MMtonnes CO2),1997,164.6115503
Australia,Consumed natural gas (MMtonnes CO2),1997,39.57978767
Australia,Petroleum and other liquids (MMtonnes CO2),1997,109.1635307
Australia,Population,1997,18442800.0
Australia,GDP,1997,637.4595
Australia,Generation (billion kWh),1998,185.41
Australia,Nuclear (billion kWh),1998,0.0
Australia,Fossil fuels (billion kWh),1998,169.008
Australia,Renewables (billion kWh),1998,16.702
Australia,Hydroelectricity (billion kWh),1998,15.636
Australia,Non-hydroelectric renewables (billion kWh),1998,1.066
Australia,Geothermal (billion kWh),1998,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1998,0.028
Australia,Tide and wave (billion kWh),1998,0.0
Australia,Solar (billion kWh),1998,0.028
Australia,Wind (billion kWh),1998,0.008
Australia,Biomass and waste (billion kWh),1998,1.03
Australia,Hydroelectric pumped storage (billion kWh),1998,-0.3
Australia,Consumption (quad Btu),1998,4.643887355
Australia,Coal (quad Btu),1998,1.993407343
Australia,Natural gas (quad Btu),1998,0.781710238
Australia,Petroleum and other liquids (quad Btu),1998,1.701952656
Australia,"Nuclear, renewables, and other (quad Btu)",1998,0.166817118
Australia,Nuclear (quad Btu),1998,0.0
Australia,Renewables and other (quad Btu),1998,0.166817118
Australia,CO2 emissions (MMtonnes CO2),1998,329.104173
Australia,Coal and coke (MMtonnes CO2),1998,177.5067795
Australia,Consumed natural gas (MMtonnes CO2),1998,41.47493955
Australia,Petroleum and other liquids (MMtonnes CO2),1998,110.122454
Australia,Population,1998,18630460.0
Australia,GDP,1998,667.0996
Australia,Generation (billion kWh),1999,191.63
Australia,Nuclear (billion kWh),1999,0.0
Australia,Fossil fuels (billion kWh),1999,174.139
Australia,Renewables (billion kWh),1999,17.701
Australia,Hydroelectricity (billion kWh),1999,16.509
Australia,Non-hydroelectric renewables (billion kWh),1999,1.192
Australia,Geothermal (billion kWh),1999,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1999,0.034
Australia,Tide and wave (billion kWh),1999,0.0
Australia,Solar (billion kWh),1999,0.034
Australia,Wind (billion kWh),1999,0.028
Australia,Biomass and waste (billion kWh),1999,1.13
Australia,Hydroelectric pumped storage (billion kWh),1999,-0.21
Australia,Consumption (quad Btu),1999,4.761880804
Australia,Coal (quad Btu),1999,2.024041093
Australia,Natural gas (quad Btu),1999,0.809196256
Australia,Petroleum and other liquids (quad Btu),1999,1.748654111
Australia,"Nuclear, renewables, and other (quad Btu)",1999,0.179989344
Australia,Nuclear (quad Btu),1999,0.0
Australia,Renewables and other (quad Btu),1999,0.179989344
Australia,CO2 emissions (MMtonnes CO2),1999,337.3205093
Australia,Coal and coke (MMtonnes CO2),1999,181.0058198
Australia,Consumed natural gas (MMtonnes CO2),1999,42.93325603
Australia,Petroleum and other liquids (MMtonnes CO2),1999,113.3814335
Australia,Population,1999,18836060.0
Australia,GDP,1999,696.1561
Australia,Generation (billion kWh),2000,197.94956
Australia,Nuclear (billion kWh),2000,0.0
Australia,Fossil fuels (billion kWh),2000,180.73756
Australia,Renewables (billion kWh),2000,17.422
Australia,Hydroelectricity (billion kWh),2000,16.196
Australia,Non-hydroelectric renewables (billion kWh),2000,1.226
Australia,Geothermal (billion kWh),2000,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",2000,0.038
Australia,Tide and wave (billion kWh),2000,0.0
Australia,Solar (billion kWh),2000,0.038
Australia,Wind (billion kWh),2000,0.058
Australia,Biomass and waste (billion kWh),2000,1.13
Australia,Hydroelectric pumped storage (billion kWh),2000,-0.21
Australia,Consumption (quad Btu),2000,4.798319763
Australia,Coal (quad Btu),2000,2.024106203
Australia,Natural gas (quad Btu),2000,0.849552543
Australia,Petroleum and other liquids (quad Btu),2000,1.748792672
Australia,"Nuclear, renewables, and other (quad Btu)",2000,0.175868345
Australia,Nuclear (quad Btu),2000,0.0
